run,profile,stage_index,stage_id,stage_name,req_level,boss_level,unlock_wins,reached,cleared,entry_highest_level,boss_start_highest_level,clear_highest_level,normalBattles,normalCombatWins,scoutWins,normalLosses,scoutEncounters,bossAttempts,bossLosses,bossTurns,recruitmentBossBattles,recruitmentBossLosses,totalBattles,totalTurns,guardTurns,maxGuardStreak,maxBattleTurns,battles50Plus,guardLoopBattles,stalledBattles,kos,trainingBooks,fusions,levelRecoveryBattles,gold_at_entry,gold_at_clear
1,rush,1,meadow,はじまり草原,1,4,2,1,1,1,2,6,6,2,2,2,2,3,2,27,0,0,9,45,0,0,11,0,0,0,10,8,0,0,230,663
1,rush,2,cave,こだま洞くつ,3,7,2,1,1,6,7,10,6,6,0,0,0,5,4,41,0,0,11,56,0,0,10,0,0,0,14,16,0,0,663,1377
1,rush,3,brook,しずく湖畔,5,10,3,1,1,10,11,14,6,6,0,0,0,4,3,22,0,0,10,34,0,0,6,0,0,0,10,25,0,0,1377,1190
1,rush,4,volcano,ほむら火山,8,14,4,1,1,14,14,23,46,45,0,1,0,42,41,213,0,0,88,340,0,0,6,0,0,0,136,89,0,0,1190,946
1,rush,5,tower,星晶の塔,12,20,5,1,0,23,23,0,85,85,0,0,0,80,80,352,0,0,165,592,0,0,7,0,0,0,258,190,0,0,946,0
1,rush,6,snowfield,霜降り雪原,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,rush,7,thunder_ruins,雷鳴遺跡,21,31,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,rush,8,prism_sanctuary,虹晶聖域,28,42,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,rush,9,poison_bog,毒霧の沼地,34,48,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,rush,10,machine_city,古代機械都市,39,57,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,rush,11,deep_sea_temple,深海神殿,46,66,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,rush,12,demon_gate,魔界門,54,76,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,rush,13,sky_ruins,天空遺跡,68,86,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,balanced,1,meadow,はじまり草原,1,4,2,1,1,1,2,6,6,4,2,0,4,3,2,39,2,0,11,72,6,1,15,0,0,0,11,5,0,0,230,916
2,balanced,2,cave,こだま洞くつ,3,7,2,1,1,7,8,11,6,5,1,0,3,3,2,49,2,2,11,88,3,1,22,0,0,0,13,15,0,0,1672,2379
2,balanced,3,brook,しずく湖畔,5,10,3,1,1,11,11,14,9,8,1,0,2,4,3,28,1,0,14,53,1,1,12,0,0,0,12,27,0,0,1843,1157
2,balanced,4,volcano,ほむら火山,8,14,4,1,1,13,10,13,4,3,1,0,3,1,0,4,2,2,7,22,0,0,6,0,0,0,4,0,0,0,1364,3825
2,balanced,5,tower,星晶の塔,12,20,5,1,1,13,15,19,16,11,0,5,12,4,3,25,2,2,22,103,1,1,11,0,0,0,24,55,0,0,2963,1834
2,balanced,6,snowfield,霜降り雪原,16,25,4,1,1,19,20,21,4,3,1,0,4,1,0,11,2,2,7,33,0,0,11,0,0,0,5,0,0,0,1421,3686
2,balanced,7,thunder_ruins,雷鳴遺跡,21,31,5,1,1,21,22,31,26,25,0,1,6,11,10,72,2,2,39,133,2,1,10,0,0,0,28,155,0,0,2855,5306
2,balanced,8,prism_sanctuary,虹晶聖域,28,42,6,1,1,31,33,46,68,60,0,8,11,28,27,120,2,2,98,284,0,0,17,0,0,0,76,352,0,0,4110,4839
2,balanced,9,poison_bog,毒霧の沼地,34,48,5,1,1,46,47,54,31,30,1,0,3,14,13,53,2,2,47,103,4,1,7,0,0,0,30,252,0,0,3748,10662
2,balanced,10,machine_city,古代機械都市,39,57,6,1,1,54,55,56,7,5,1,1,4,1,0,14,2,2,10,36,0,0,14,0,0,0,6,0,0,0,8258,27952
2,balanced,11,deep_sea_temple,深海神殿,46,66,6,1,1,56,62,75,69,57,1,11,18,27,26,1190,2,2,98,1450,13,1,59,14,0,0,85,706,0,0,21647,10666
2,balanced,12,demon_gate,魔界門,54,76,7,1,1,75,77,94,64,62,1,1,3,29,28,2836,2,2,95,3079,5,1,205,29,0,0,68,1018,0,0,8261,14296
2,balanced,13,sky_ruins,天空遺跡,68,86,7,1,1,94,96,100,130,122,1,7,14,59,58,8938,2,2,191,9380,8,1,157,57,0,0,204,485,0,0,11072,37969
3,collector,1,meadow,はじまり草原,1,4,2,1,1,1,3,6,12,7,1,4,4,3,2,30,1,0,16,71,5,1,13,0,0,0,10,0,0,0,230,1165
3,collector,2,cave,こだま洞くつ,3,7,2,1,1,6,6,11,8,6,2,0,5,3,2,34,3,2,14,91,4,1,23,0,0,0,14,10,0,0,1243,2722
3,collector,3,brook,しずく湖畔,5,10,3,1,1,11,10,15,21,19,2,0,8,7,6,53,5,5,33,121,5,1,12,0,0,0,35,19,0,0,2503,2248
3,collector,4,volcano,ほむら火山,8,14,4,1,1,15,15,17,7,3,4,0,9,2,1,14,5,5,14,65,3,1,8,0,0,0,20,10,0,0,1188,2549
3,collector,5,tower,星晶の塔,12,20,5,1,1,17,15,22,34,30,2,2,10,10,9,39,5,5,49,154,4,1,8,0,0,0,56,35,0,0,1347,3498
3,collector,6,snowfield,霜降り雪原,16,25,4,1,1,22,24,27,13,11,2,0,8,4,3,178,5,5,22,271,7,1,48,0,0,0,28,71,0,0,1848,3076
3,collector,7,thunder_ruins,雷鳴遺跡,21,31,5,1,1,27,28,32,23,21,2,0,7,7,6,279,5,5,35,373,8,1,61,1,0,0,35,70,0,0,1626,3631
3,collector,8,prism_sanctuary,虹晶聖域,28,42,6,1,1,32,33,55,121,115,2,4,12,38,37,513,5,5,164,884,12,1,60,1,0,0,147,575,0,0,1918,7823
3,collector,9,poison_bog,毒霧の沼地,34,48,5,1,1,55,55,56,5,2,3,0,9,1,0,9,5,5,11,63,2,1,9,0,0,0,17,0,0,0,4130,9338
3,collector,10,machine_city,古代機械都市,39,57,6,1,1,56,54,69,89,84,3,2,11,28,27,255,5,5,122,546,27,1,33,0,0,0,108,744,1,0,4930,13967
3,collector,11,deep_sea_temple,深海神殿,46,66,6,1,1,69,70,81,57,56,1,0,11,18,17,1552,5,5,80,1755,10,1,130,18,0,0,73,678,0,0,7372,18079
3,collector,12,demon_gate,魔界門,54,76,7,1,1,81,76,89,50,44,2,4,14,14,13,1951,5,5,69,2977,25,1,152,22,0,0,82,729,0,0,9542,15268
3,collector,13,sky_ruins,天空遺跡,68,86,7,1,1,89,82,92,41,37,3,1,11,12,11,1261,5,5,58,1450,20,1,111,12,0,0,55,688,0,0,8060,20489
4,rush,1,meadow,はじまり草原,1,4,2,1,1,1,2,6,4,2,2,0,2,3,2,26,0,0,7,38,0,0,9,0,0,0,7,8,0,0,230,706
4,rush,2,cave,こだま洞くつ,3,7,2,1,1,6,7,12,12,12,0,0,0,11,10,77,0,0,23,102,0,0,8,0,0,0,31,34,0,0,706,563
4,rush,3,brook,しずく湖畔,5,10,3,1,1,12,13,14,4,4,0,0,0,2,1,13,0,0,6,22,0,0,7,0,0,0,5,8,0,0,563,1176
4,rush,4,volcano,ほむら火山,8,14,4,1,1,14,15,23,43,43,0,0,0,40,39,202,0,0,83,305,0,0,6,0,0,0,123,87,0,0,1176,953
4,rush,5,tower,星晶の塔,12,20,5,1,0,23,23,0,85,85,0,0,0,80,80,349,0,0,165,590,0,0,6,0,0,0,259,181,0,0,953,0
4,rush,6,snowfield,霜降り雪原,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,rush,7,thunder_ruins,雷鳴遺跡,21,31,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,rush,8,prism_sanctuary,虹晶聖域,28,42,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,rush,9,poison_bog,毒霧の沼地,34,48,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,rush,10,machine_city,古代機械都市,39,57,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,rush,11,deep_sea_temple,深海神殿,46,66,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,rush,12,demon_gate,魔界門,54,76,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,rush,13,sky_ruins,天空遺跡,68,86,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,balanced,1,meadow,はじまり草原,1,4,2,1,1,1,3,6,11,5,1,5,7,3,2,23,1,0,15,57,3,1,9,0,0,0,11,4,0,0,230,892
5,balanced,2,cave,こだま洞くつ,3,7,2,1,1,7,6,11,6,5,1,0,3,3,2,44,2,0,11,79,2,1,22,0,0,0,5,14,0,0,970,2583
5,balanced,3,brook,しずく湖畔,5,10,3,1,1,11,12,15,7,6,1,0,4,3,2,15,2,2,12,40,1,1,9,0,0,0,9,33,0,0,3091,1783
5,balanced,4,volcano,ほむら火山,8,14,4,1,1,15,12,16,8,7,1,0,3,3,2,17,2,2,13,45,4,1,7,0,0,0,9,30,0,0,1382,2469
5,balanced,5,tower,星晶の塔,12,20,5,1,1,16,17,22,21,20,1,0,3,9,8,47,2,2,32,103,2,1,7,0,0,0,33,72,0,0,1913,1912
5,balanced,6,snowfield,霜降り雪原,16,25,4,1,1,22,23,30,28,27,1,0,3,13,12,84,2,2,43,150,10,1,10,0,0,0,44,125,0,0,1482,2415
5,balanced,7,thunder_ruins,雷鳴遺跡,21,31,5,1,1,30,31,32,5,4,1,0,4,1,0,7,2,2,8,32,1,1,7,0,0,0,8,0,0,0,1871,7746
5,balanced,8,prism_sanctuary,虹晶聖域,28,42,6,1,1,32,36,48,62,61,1,0,3,29,28,149,2,2,93,328,27,1,8,0,0,0,95,425,0,0,5999,4939
5,balanced,9,poison_bog,毒霧の沼地,34,48,5,1,1,48,49,51,9,8,1,0,3,3,2,16,2,2,14,50,0,0,8,0,0,0,14,94,0,0,3826,10581
5,balanced,10,machine_city,古代機械都市,39,57,6,1,1,51,52,56,16,15,1,0,5,6,5,39,2,2,24,95,8,1,8,0,0,0,25,282,0,0,8195,14364
5,balanced,11,deep_sea_temple,深海神殿,46,66,6,1,1,56,57,82,111,108,0,3,11,52,51,306,2,2,165,666,87,1,9,0,0,0,187,1387,0,0,11125,9975
5,balanced,12,demon_gate,魔界門,54,76,7,1,1,82,83,91,29,28,1,0,3,12,11,78,2,2,43,169,6,1,8,0,0,0,46,603,0,0,7725,14263
5,balanced,13,sky_ruins,天空遺跡,68,86,7,1,0,91,92,0,167,166,1,0,3,80,80,552,0,0,247,983,87,1,8,0,0,0,253,757,0,0,11046,0
6,collector,1,meadow,はじまり草原,1,4,2,1,1,1,2,6,12,10,1,1,6,4,3,39,5,5,21,112,5,1,13,0,0,0,19,0,0,0,230,1724
6,collector,2,cave,こだま洞くつ,3,7,2,1,1,6,6,10,8,7,1,0,7,3,2,44,5,5,16,105,3,1,22,0,0,0,24,7,0,0,911,1336
6,collector,3,brook,しずく湖畔,5,10,3,1,1,10,10,13,9,7,2,0,8,3,2,16,5,5,17,63,2,1,7,0,0,0,24,4,0,0,706,1973
6,collector,4,volcano,ほむら火山,8,14,4,1,1,13,12,16,13,9,4,0,5,4,3,21,1,0,18,57,3,1,8,0,0,0,12,20,0,0,1043,2289
6,collector,5,tower,星晶の塔,12,20,5,1,1,16,17,22,23,22,1,0,8,7,6,37,5,5,35,154,4,1,33,0,0,0,40,49,0,0,2546,2612
6,collector,6,snowfield,霜降り雪原,16,25,4,1,1,22,23,30,28,26,2,0,8,9,8,395,5,5,42,478,10,1,53,4,0,0,42,89,0,0,1381,4185
6,collector,7,thunder_ruins,雷鳴遺跡,21,31,5,1,1,30,28,30,8,6,2,0,7,2,1,15,5,5,15,68,0,0,8,0,0,0,21,26,0,0,2210,4979
6,collector,8,prism_sanctuary,虹晶聖域,28,42,6,1,1,30,31,46,72,68,1,3,11,22,21,119,5,5,99,1957,18,1,72,26,0,0,122,338,0,0,2630,5757
6,collector,9,poison_bog,毒霧の沼地,34,48,5,1,1,46,47,48,5,3,2,0,9,1,0,5,5,5,11,52,0,0,7,0,0,0,19,0,0,0,3040,15199
6,collector,10,machine_city,古代機械都市,39,57,6,1,1,48,49,58,40,37,2,1,10,12,11,78,5,5,57,1074,11,1,86,11,0,0,69,357,0,0,8023,8259
