run,profile,profile_label,seed,status,completed,failed_stage,failure_reason,maxBattles,maxTurnsPerBattle,maxBossLosses,totalBattles,normalBattles,bossBattles,totalTurns,wins,losses,stalledBattles,timerOrTurnCaps,kos,guardTurns,maxGuardStreak,maxBattleTurns,guardLoopBattles,battles50Plus,battles100Plus,scoutAttempts,scoutSuccesses,zeroRewardScoutWins,scoutCharmPurchases,scoutCharmConsumed,scoutCharmWasted,charmWasteRate,fusions,fusionLevelDebt,levelRecoveryBattles,trainingBooks,trainingGold,freeHeals,questClaims,rankClaims,battleGold,questGold,rankGold,defeatGoldLost,goldInflow,goldSink,goldSinkRate,minGold,finalGold,finalHighestLevel,finalPlayerRank,firstBRankBattle,firstARankBattle,firstSRankBattle,finalOwned,finalDexDiscovered,finalDexScouted,bossesCleared,finalParty
1,rush,速攻,3258477,stuck,0,tower,boss_retry_cap,1000,400,80,283,149,134,1067,150,133,0,0,428,0,0,11,0,0,0,2,2,2,0,1,1,1,0,0,0,328,19680,283,23,6,17262,6400,1550,5368,25292,25048,0.9903526806895461,80,244,33,7,,,,3,24,3,4,リーフリン Lv33 / つぼみラビ Lv32 / ぷるミン Lv33
2,balanced,バランス,3771453417,completed,1,,,1000,400,80,650,440,210,14836,422,228,0,0,566,43,1,205,0,100,68,65,13,11,0,1,1,1,0,0,0,3070,184200,650,43,11,351091,63480,5600,206647,420251,390847,0.9300322902265551,80,29404,100,12,36,,,14,59,14,13,コーラルルーメ Lv100 / サンラビ Lv100 / インプファング Lv94
3,collector,収集・配合,3632256591,completed,1,,,1000,400,80,687,481,206,8821,479,208,0,0,680,132,1,152,0,54,33,112,31,29,367,368,311,0.845108695652174,1,24,0,3629,217740,687,45,11,279568,64480,5600,102823,349728,338913,0.9690759676091134,80,10815,92,12,188,484,,31,61,32,13,パールセラフ Lv92 / ヘルナイト Lv92 / ゲイルグリフ Lv89
4,rush,速攻,2885738923,stuck,0,tower,boss_retry_cap,1000,400,80,284,148,136,1057,152,132,0,0,425,0,0,9,0,0,0,2,2,2,0,1,1,1,0,0,0,318,19080,284,23,6,16660,6400,1550,5280,24690,24360,0.9866342648845686,80,330,33,7,,,,3,23,3,4,プフバット Lv33 / つぼみラビ Lv32 / ぷるミン Lv33
5,balanced,バランス,2642209564,stuck,0,sky_ruins,boss_retry_cap,1000,400,80,720,480,240,2797,487,233,0,0,739,238,1,22,0,0,0,48,14,12,0,1,1,1,0,0,0,3826,229560,720,43,11,401603,55830,5600,212239,463113,441799,0.9539766752390885,80,21314,100,12,476,,,15,62,15,12,ゲイルグリフ Lv100 / クラッグベア Lv100 / クリスタゴン Lv100
6,collector,収集・配合,1922724446,stuck,0,sky_ruins,boss_stalled,1000,400,80,546,376,170,12481,378,167,1,1,587,108,1,400,0,88,20,89,23,22,295,296,243,0.8209459459459459,0,0,0,3047,182820,546,43,10,230179,55830,4500,88136,290589,285706,0.9831961980666852,80,4883,94,11,72,339,,24,63,24,12,パールセラフ Lv94 / ルーメンオウル Lv94 / 雲ぷる Lv78
7,rush,速攻,485318323,stuck,0,tower,boss_retry_cap,1000,400,80,278,150,128,980,144,134,0,0,392,0,0,8,0,0,0,4,2,2,0,1,1,1,0,0,0,308,18480,278,23,6,16205,6400,1550,5435,24235,23915,0.9867959562616051,80,320,33,7,,,,3,24,3,4,アワマリン Lv31 / つぼみラビ Lv33 / ぷるミン Lv32
8,balanced,バランス,1650766873,stuck,0,sky_ruins,boss_retry_cap,1000,400,80,855,571,284,3330,575,280,0,0,976,255,1,25,0,0,0,66,12,10,0,1,1,1,1,34,0,4092,245520,855,43,12,457932,55130,6850,253273,519992,498793,0.959232065108694,80,21199,100,13,58,,,12,62,14,12,サンラビ Lv100 / クラッグベア Lv100 / サンダードローン Lv100
9,collector,収集・配合,213382892,completed,1,,,1000,400,80,917,660,257,28349,616,301,0,0,1031,104,1,317,0,132,98,127,23,22,497,498,435,0.8734939759036144,2,53,0,3748,224880,917,45,12,415908,64480,6850,212846,487318,462576,0.9492282246910642,80,24742,100,13,251,741,,22,62,24,13,ドゥームゲイザー Lv98 / アビスジェリー Lv100 / ルーメンオウル Lv100
10,rush,速攻,2035824539,stuck,0,tower,boss_retry_cap,1000,400,80,234,125,109,885,125,109,0,0,327,0,0,10,0,0,0,3,2,2,0,1,1,1,0,0,0,295,17700,234,23,6,14606,6400,1550,4632,22636,22332,0.9865700653825764,80,304,32,7,,,,3,22,3,4,ペブロン Lv31 / つぼみラビ Lv32 / ぷるミン Lv32
11,balanced,バランス,1443398266,stuck,0,demon_gate,boss_retry_cap,1000,400,80,879,587,292,14739,590,289,0,0,967,198,1,131,0,115,61,49,13,11,0,1,1,1,0,0,0,3867,232020,879,40,12,377469,43580,6850,177947,427979,409967,0.9579138228744868,80,18012,100,13,214,,,14,54,14,11,ルミネル Lv100 / アビスフィン Lv100 / グルーモス Lv100
12,collector,収集・配合,1671141722,completed,1,,,1000,400,80,736,512,224,8396,513,223,0,0,751,130,1,321,0,31,25,98,26,26,392,393,346,0.8804071246819338,0,0,0,3798,227880,736,44,11,299597,64330,5600,107533,369607,355013,0.9605148170895031,80,14594,98,12,236,649,,27,63,27,13,ストームジン Lv94 / 雲ぷる Lv97 / コーラルルーメ Lv98
13,rush,速攻,2844491265,stuck,0,snowfield,boss_retry_cap,1000,400,80,305,167,138,1101,158,147,0,0,432,0,0,11,0,0,0,2,2,2,0,1,1,1,0,0,0,485,29100,305,25,7,25363,9000,2100,7067,36543,36167,0.9897107517171552,59,376,40,8,,,,3,30,3,5,トゲホッグ Lv39 / ぷるミン Lv40 / プフバット Lv39
14,balanced,バランス,2574569498,stuck,0,sky_ruins,boss_retry_cap,1000,400,80,934,649,285,36350,575,359,0,0,1112,73,1,311,0,135,127,80,14,13,0,1,1,1,0,0,0,3407,204420,934,43,12,465737,55830,6850,302878,528497,507298,0.9598881355996345,72,21199,100,13,,,,15,57,15,12,アビスジェリー Lv100 / ルーメンオウル Lv100 / グルーモス Lv100
15,collector,収集・配合,2440960008,completed,1,,,1000,400,80,881,628,253,22415,621,260,0,0,944,151,1,301,0,115,62,110,30,28,491,492,435,0.8841463414634146,1,38,0,3976,238560,881,45,12,406614,64480,6850,190694,478024,453804,0.9493330878784328,80,24220,100,13,417,727,,30,63,32,13,アビスジェリー Lv100 / ヘルナイト Lv98 / コーラルルーメ Lv100
