stage_index,stage_id,stage_name,req_level,boss_level,unlock_wins,campaigns_reached,stage_clears,clear_rate,boss_attempts,boss_win_rate,first_try_rate,avg_boss_attempts,avg_boss_turns,median_boss_start_level,p90_boss_start_level,avg_normal_battles,avg_normal_wins,avg_extra_normal_wins,normal_loss_rate,scout_win_share,guard_loop_battle_rate,battles_50_plus_rate,stalled_battles,stalled_battle_rate,avg_training_books,avg_fusions
1,meadow,はじまり草原,1,4,2,300,300,1,1083,0.2770083102493075,0,3.61,8.77,2,3,8.4,7.03,5.03,0.16342721142403807,0.1763869132290185,0,0,0,0,4.35,0
2,cave,こだま洞くつ,3,7,2,300,300,1,1530,0.19607843137254902,0.006666666666666667,5.1,9.99,7,8,8.37,8.24,6.24,0.016321656050955414,0.11898016997167139,0,0,0,0,15.14,0
3,brook,しずく湖畔,5,10,3,300,300,1,1225,0.24489795918367346,0.08,4.08,6.64,11,12,9.27,9.27,6.27,0,0.1161452714850773,0,0,0,0,19.92,0.02
4,volcano,ほむら火山,8,14,4,300,300,1,3372,0.08896797153024912,0.06333333333333334,11.24,6.34,14,15,18.43,18.27,14.27,0.009041591320072333,0.060948905109489054,0,0,0,0,39.05,0.03
5,tower,星晶の塔,12,20,5,300,261,0.87,8891,0.029355528062085256,0,29.64,5.23,18,22,43.92,43.26,38.26,0.015103217972070431,0.021807813824458656,0,0.0010102784854607747,0,0,94.92,0
6,snowfield,霜降り雪原,16,25,4,261,249,0.9540229885057471,5088,0.04893867924528302,0.02681992337164751,19.49,12.27,24,31,31.87,31.72,27.72,0.004568955152098112,0.03309578451503805,0,0.01921304501949663,0,0,122.39,0.07
7,thunder_ruins,雷鳴遺跡,21,31,5,249,220,0.8835341365461847,4933,0.04459760794648287,0.05622489959839357,19.81,10.53,30,39,32.44,32.35,27.35,0.0025999752383310637,0.03587388282025819,0,0.012495432955791011,0,0,131.04,0.07
8,prism_sanctuary,虹晶聖域,28,42,6,220,196,0.8909090909090909,9458,0.02072319729329668,0,42.99,6.94,35,42,110.74,98.55,92.55,0.11008948362203431,0.008579335793357934,0,0.04034081029386194,0,0,533.37,0.05
9,poison_bog,毒霧の沼地,34,48,5,196,196,1,843,0.232502965599051,0.29081632653061223,4.3,10.56,53,60,14.43,14.42,9.42,0.0003536067892503536,0.12840466926070038,0,0.004598758335249482,0,0,120.14,0.24
10,machine_city,古代機械都市,39,57,6,196,196,1,3433,0.05709292164287795,0.02040816326530612,17.52,12.12,55,62.5,47.44,46.53,40.53,0.019249381653941283,0.03179824561403509,0,0.027574899388880608,0,0,474.46,0.16
11,deep_sea_temple,深海神殿,46,66,6,196,193,0.9846938775510204,7598,0.025401421426691235,0,38.77,51.55,64,72,101.62,97.78,91.78,0.037855206346018674,0.01372364850761845,0,0.14884710890386663,0,0,1162.66,0.04
12,demon_gate,魔界門,54,76,7,193,167,0.8652849740932642,4866,0.034319769831483764,0.06735751295336788,25.21,172.35,84,92.8,68.16,64.07,57.07,0.059977194982896234,0.022319262493934983,0,0.36501880709296075,1,0.00005373455131649651,662.49,0.07
13,sky_ruins,天空遺跡,68,86,7,167,109,0.6526946107784432,6614,0.016480193528878136,0.023952095808383235,39.6,192.13,94,100,100.28,97.98,90.98,0.02298919209410641,0.0176017601760176,0,0.2693537529451363,10,0.0004207337596768765,504.95,0
