run,profile,profile_label,seed,initialStateHash,status,completed,failed_stage,failure_reason,maxBattles,maxTurnsPerBattle,maxBossLosses,totalBattles,normalBattles,bossBattles,totalTurns,wins,losses,kos,guardTurns,maxGuardStreak,maxBattleTurns,guardLoopBattles,battles50Plus,battles100Plus,stalledBattles,timerOrTurnCaps,scoutAttempts,scoutSuccesses,scoutCharmPurchases,scoutCharmGold,scoutCharmConsumed,scoutCharmWasted,zeroRewardScoutWins,scoutEncountersByStage,scoutSuccessesByStage,fusions,fusionLevelDebt,levelRecoveryBattles,equips,trainingBooks,trainingGold,freeHeals,freeHealPoints,questClaims,questGold,rankClaims,rankGold,battleGold,defeatGoldLost,firstBRankBattle,firstARankBattle,firstSRankBattle,minGold,actions,finalGold,finalHighestLevel,finalPlayerRank,finalOwned,finalDexDiscovered,finalDexScouted,finalParty,finalPartyData,bossesCleared,goldInflow,goldSink,goldSinkRate,charmWasteRate,sourceRandomCalls,scenario
1,rush,速攻,3847549528,ad1b7a174daff2a4fae71b2a61304c958c897c0ef882cb7fdeb900ab15ab3f48,stuck,0,tower,boss_retry_cap,400,200,40,174,94,80,522,96,78,210,0,0,11,0,0,0,0,0,2,2,0,0,1,1,2,[object Object],[object Object],0,0,0,3,215,12900,174,4706,23,6400,5,1100,9126,3477,,,,80,[object Object],329,27,6,3,23,3,グルーモス Lv25 / プフバット Lv27 / ぷるミン Lv27,"[object Object],[object Object],[object Object]",4,16706,16377,0.9803064767149527,1,3728,control
2,balanced,バランス,1169961639,8f06c41c7f1aacda3ca2d05f58d3f13ab7a643269432684a0d9ba5e3cca8924c,completed,1,,,400,200,40,94,58,36,400,63,31,103,18,1,17,0,0,0,0,0,13,6,0,0,1,1,6,[object Object],[object Object],0,0,0,6,136,8160,94,3047,26,6980,4,750,5696,3928,,,,80,[object Object],1418,23,5,7,23,7,ルーメンオウル Lv20 / シンドレイク Lv21 / ドリモール Lv23,"[object Object],[object Object],[object Object]",5,13506,12088,0.8950096253516956,1,2447,control
3,collector,収集・配合,2091651124,a7e03769d517735b1f6b8c946ca2ffc4c631909f58fadfed43cc2c1f9844a06f,completed,1,,,400,200,40,96,60,36,528,68,28,89,13,1,41,0,0,0,0,0,40,14,48,2400,49,35,11,[object Object],[object Object],1,6,0,12,85,5100,96,5172,31,11980,5,1100,5311,8425,54,,,80,[object Object],2546,21,6,14,24,16,ルーメンオウル Lv21 / シンダーホーン Lv19 / ルミネル Lv21,"[object Object],[object Object],[object Object]",5,18471,15925,0.8621623084835688,0.7142857142857143,2909,control
4,rush,速攻,3958302082,cc4019787e71e222f6131a16ddb82502f35db28a2abc90a1ac0980f1b82d6206,stuck,0,tower,boss_retry_cap,400,200,40,164,88,76,574,92,72,214,0,0,9,0,0,0,0,0,3,2,0,0,1,1,2,[object Object],[object Object],0,0,0,3,222,13320,164,7737,23,6400,5,1100,9386,3336,,,,80,[object Object],310,28,6,3,23,3,リーファウル Lv26 / リーフリン Lv28 / ぷるミン Lv27,"[object Object],[object Object],[object Object]",4,16966,16656,0.9817281622067665,1,3799,control
5,balanced,バランス,877175930,e1fbbcfd26dcabaebc440c3a20413908c8564f21e4b7d1f88fcf6f8ddd1e698e,completed,1,,,400,200,40,110,70,40,472,74,36,113,12,1,25,0,0,0,0,0,10,6,0,0,1,1,5,[object Object],[object Object],0,0,0,7,159,9540,110,4407,26,6980,5,1100,7894,4819,,,,80,[object Object],1695,24,6,7,23,7,ルミネル Lv24 / ギアビット Lv24 / リーファウル Lv24,"[object Object],[object Object],[object Object]",5,16054,14359,0.8944188364270587,1,2887,control
6,collector,収集・配合,3759887535,cf774de5640c9fa8d2c13c1255de7f3f49479804b5394599bc6aaff1f2da735c,completed,1,,,400,200,40,103,66,37,523,68,35,110,12,1,32,0,0,0,0,0,32,13,51,2550,52,38,11,[object Object],[object Object],0,0,0,10,56,3360,103,4807,28,8780,4,750,5546,7428,,,,80,[object Object],1818,22,5,14,23,14,ルーメンオウル Lv21 / シンダーホーン Lv18 / クリスタゴン Lv22,"[object Object],[object Object],[object Object]",5,15156,13338,0.8800475059382423,0.7307692307692307,2976,control
7,rush,速攻,4155763943,2deb90b0b988669d7746da9501db93df93573af9c8fd11b3736c74d80a241db9,completed,1,,,400,200,40,137,75,62,438,78,59,172,0,0,9,0,0,0,0,0,4,2,0,0,1,1,2,[object Object],[object Object],0,0,0,3,201,12060,137,4831,24,7200,5,1100,7932,2718,,,,80,[object Object],1534,26,6,3,24,3,グルーモス Lv24 / つぼみラビ Lv26 / ぷるミン Lv26,"[object Object],[object Object],[object Object]",5,16312,14778,0.9059588033349681,1,3026,control
8,balanced,バランス,1749096897,f1f67243f218d311f8dc25a64c5ddfb03b36688c22234e631037c684d6dc1483,completed,1,,,400,200,40,102,64,38,423,71,31,106,14,1,20,0,0,0,0,0,11,6,0,0,1,1,5,[object Object],[object Object],0,0,0,7,150,9000,102,3923,28,9080,5,1100,7148,5029,,,,80,[object Object],3379,25,6,7,23,7,グルーモス Lv23 / ルミネル Lv22 / アッシュインプ Lv25,"[object Object],[object Object],[object Object]",5,17408,14029,0.8058938419117647,1,2628,control
9,collector,収集・配合,3475527868,7618a7fcfdb656b8166b7e4e8751cfd6d013b5ae6c9a0d9f799424978eed697a,completed,1,,,400,200,40,133,85,48,929,91,42,126,20,1,79,0,2,0,0,0,50,9,65,3250,66,55,8,[object Object],[object Object],0,0,0,9,96,5760,133,7401,27,8180,5,1100,9217,8364,,,,80,[object Object],1203,24,6,10,24,10,ルーメンオウル Lv22 / グルーモス Lv24 / ルミネル Lv22,"[object Object],[object Object],[object Object]",5,18577,17374,0.9352425041718254,0.8333333333333334,4491,control
10,rush,速攻,1982969760,7672f890431f6af2394869f6bdbc53c1fa2ce247ed7de3ea7b05d360b6513770,completed,1,,,400,200,40,181,99,82,593,98,83,197,0,0,8,0,0,0,0,0,3,2,0,0,1,1,2,[object Object],[object Object],0,0,0,3,195,11700,181,6241,24,7200,5,1100,8226,3375,,,,80,[object Object],1531,26,6,3,25,3,グルーモス Lv23 / プフバット Lv26 / ぷるミン Lv26,"[object Object],[object Object],[object Object]",5,16606,15075,0.9078044080452848,1,4028,control
