scenario,profile,stage_id,clear_rate_delta,first_try_rate_delta,avg_boss_attempts_delta,avg_extra_normal_wins_delta,normal_loss_rate_delta,p50_total_battles_delta,p90_total_battles_delta,avg_training_books_delta
finalist,rush,all_early,0.16000000000000003,,,,,-52,-83,-13.79000000000002
finalist,rush,meadow,0,0.11,-2.6700000000000004,-2.67,-0.20212782996580414,-5,-18.200000000000003,-5.07
finalist,rush,cave,0.010000000000000009,0,-5.450000000000001,-5.459999999999999,0.07342836678483712,-8,-20.5,-8.35
finalist,rush,brook,0,0.1594949494949495,-2.18,-2.1799999999999997,0,-2,-12,-4.219999999999999
finalist,rush,volcano,0.1515151515151515,0.2498989898989899,-17.5,-17.65,0.023425630972800784,-30,-70,-34.22
finalist,rush,tower,-0.05904761904761904,0,0.6799999999999997,0.740000000000002,0.06070709075543976,3,6.299999999999997,18.959999999999994
finalist,balanced,all_early,0,,,,,-26,-39.2,-17.379999999999995
finalist,balanced,meadow,0,0.07,-1.04,-2.08,-0.14025651896050975,-3,-6.1,-3.0500000000000003
finalist,balanced,cave,0,0.38,-1.2199999999999998,-2.4399999999999995,-0.0015847434864356708,-3,-4,-10.080000000000002
finalist,balanced,brook,0,0.27,-1.26,-2.5199999999999996,0,-3,-6,-9.750000000000002
finalist,balanced,volcano,0,0.5599999999999999,-5.19,-10.290000000000001,0.020877718061768524,-17,-24.1,-31.049999999999997
finalist,balanced,tower,-0.010000000000000009,-0.01,2.2200000000000006,4.460000000000001,0.04040411959473056,7,18.5,36.55
finalist,collector,all_early,0,,,,,-29,-37,-13.66000000000001
finalist,collector,meadow,0,0.08,-1.4500000000000002,-4.35,-0.05359908698133203,-7,-10,-0.43
finalist,collector,cave,0,0.09,-0.9899999999999998,-2.9699999999999998,0.002490096208262592,-4,-7,-5.619999999999999
finalist,collector,brook,0,0.23000000000000004,-1.8199999999999998,-5.459999999999999,0,-8,-8.399999999999999,-7.21
finalist,collector,volcano,0,0.6000000000000001,-2.7699999999999996,-8.120000000000001,0.031220488281273315,-12,-16.5,-15.790000000000001
finalist,collector,tower,0,0.06,-0.9700000000000006,-2.91,0.03256571533101843,1,-4.1000000000000085,15.39
