scenario,profile,stage_id,stage_name,campaigns,clear_rate,first_try_rate,avg_boss_attempts,avg_extra_normal_wins,normal_loss_rate,p50_total_battles,p90_total_battles,median_boss_start_level,avg_training_books
control,rush,all_early,序盤4地域,100,0.84,,,,,79,118,,203.24
control,rush,meadow,はじまり草原,100,1,0,4.65,3.65,0.2737789203084833,10,24.3,2,7.86
control,rush,cave,こだま洞くつ,100,0.99,0,8.55,7.56,0.021494370522006142,15,29.5,7,20.68
control,rush,brook,しずく湖畔,99,1,0.050505050505050504,4.54,3.54,0,8,22,11,21.18
control,rush,volcano,ほむら火山,99,0.8484848484848485,0.010101010101010102,20.28,19.43,0.005145797598627788,37,84,15,58.11
control,rush,tower,星晶の塔,84,0.11904761904761904,0,38.74,38.62,0.01319687584163749,85,86.7,20,114.52
control,balanced,all_early,序盤4地域,100,1,,,,,59,77.2,,152.97
control,balanced,meadow,はじまり草原,100,1,0,3.06,4.12,0.1829105473965287,11,15.1,3,5.15
control,balanced,cave,こだま洞くつ,100,1,0,3.03,4.06,0.00980392156862745,11,14,7,15.46
control,balanced,brook,しずく湖畔,100,1,0.1,3.19,4.38,0,12,18,11,20.44
control,balanced,volcano,ほむら火山,100,1,0.03,6.94,11.88,0.013664596273291925,24,40.1,13,40.58
control,balanced,tower,星晶の塔,100,1,0.01,11.94,21.88,0.021834061135371178,38.5,65.6,18,71.34
control,collector,all_early,序盤4地域,100,1,,,,,73.5,92,,83.01
control,collector,meadow,はじまり草原,100,1,0,3.45,7.35,0.09574468085106383,15,22,3,0.44
control,collector,cave,こだま洞くつ,100,1,0,3.17,6.51,0.004678362573099415,14,20,6,9.29
control,collector,brook,しずく湖畔,100,1,0.05,4.18,9.54,0,21,29.4,10,14.9
control,collector,volcano,ほむら火山,100,1,0.07,4.27,9.81,0.015680684248039915,22,34.5,13,18.55
control,collector,tower,星晶の塔,100,1,0,9.64,25.92,0.043316831683168314,45,72.2,16,39.83
finalist,rush,all_early,序盤4地域,100,1,,,,,27,35,,189.45
finalist,rush,meadow,はじまり草原,100,1,0.11,1.98,0.98,0.07165109034267912,5,6.1,2,2.79
finalist,rush,cave,こだま洞くつ,100,1,0,3.1,2.1,0.09492273730684327,7,9,6,12.33
finalist,rush,brook,しずく湖畔,100,1,0.21,2.36,1.36,0,6,10,10,16.96
finalist,rush,volcano,ほむら火山,100,1,0.26,2.78,1.78,0.02857142857142857,7,14,13,23.89
finalist,rush,tower,星晶の塔,100,0.06,0,39.42,39.36,0.07390396659707725,88,93,17,133.48
finalist,balanced,all_early,序盤4地域,100,1,,,,,33,38,,135.59
finalist,balanced,meadow,はじまり草原,100,1,0.07,2.02,2.04,0.04265402843601896,8,9,2,2.1
finalist,balanced,cave,こだま洞くつ,100,1,0.38,1.81,1.62,0.00821917808219178,8,10,7,5.38
finalist,balanced,brook,しずく湖畔,100,1,0.37,1.93,1.86,0,9,12,10,10.69
finalist,balanced,volcano,ほむら火山,100,1,0.59,1.75,1.59,0.03454231433506045,7,16,11,9.53
finalist,balanced,tower,星晶の塔,100,0.99,0,14.16,26.34,0.06223818073010173,45.5,84.1,15,107.89
finalist,collector,all_early,序盤4地域,100,1,,,,,44.5,55,,69.35
finalist,collector,meadow,はじまり草原,100,1,0.08,2,3,0.0421455938697318,8,12,2,0.01
finalist,collector,cave,こだま洞くつ,100,1,0.09,2.18,3.54,0.007168458781362007,10,13,6,3.67
finalist,collector,brook,しずく湖畔,100,1,0.28,2.36,4.08,0,13,21,10,7.69
finalist,collector,volcano,ほむら火山,100,1,0.67,1.5,1.69,0.04690117252931323,10,18,11,2.76
finalist,collector,tower,星晶の塔,100,1,0.06,8.67,23.01,0.07588254701418674,46,68.1,16,55.22
