run,profile,stage_index,stage_id,stage_name,req_level,boss_level,unlock_wins,reached,cleared,entry_highest_level,boss_start_highest_level,clear_highest_level,normalBattles,normalCombatWins,scoutWins,normalLosses,scoutEncounters,bossAttempts,bossLosses,bossTurns,recruitmentBossBattles,recruitmentBossLosses,totalBattles,totalTurns,guardTurns,maxGuardStreak,maxBattleTurns,battles50Plus,guardLoopBattles,stalledBattles,kos,trainingBooks,fusions,levelRecoveryBattles,gold_at_entry,gold_at_clear,scenario
1,rush,1,meadow,はじまり草原,1,4,2,1,1,1,2,7,8,5,1,2,2,5,4,38,0,0,13,61,0,0,11,0,0,0,12,10,0,0,230,547,control
1,rush,2,cave,こだま洞くつ,3,7,2,1,1,7,8,14,29,29,0,0,0,28,27,124,0,0,57,168,0,0,7,0,0,0,55,29,0,0,547,1271,control
1,rush,3,brook,しずく湖畔,5,10,3,1,1,14,14,15,3,2,1,0,2,1,0,6,0,0,4,13,0,0,6,0,0,0,2,0,0,0,1271,3235,control
1,rush,4,volcano,ほむら火山,8,14,4,1,1,15,16,19,9,9,0,0,0,6,5,26,0,0,15,43,0,0,6,0,0,0,17,63,0,0,3235,1264,control
1,rush,5,tower,星晶の塔,12,20,5,1,0,19,20,0,45,45,0,0,0,40,40,158,0,0,85,237,0,0,5,0,0,0,124,113,0,0,1264,0,control
2,balanced,1,meadow,はじまり草原,1,4,2,1,1,1,2,6,4,2,2,0,4,2,1,23,2,2,8,66,4,1,16,0,0,0,11,2,0,0,230,1125,control
2,balanced,2,cave,こだま洞くつ,3,7,2,1,1,6,6,10,8,7,1,0,3,4,3,49,2,2,14,91,2,1,17,0,0,0,16,14,0,0,872,1610,control
2,balanced,3,brook,しずく湖畔,5,10,3,1,1,10,11,15,11,10,1,0,3,5,4,30,2,2,18,58,2,1,8,0,0,0,20,28,0,0,1247,1587,control
2,balanced,4,volcano,ほむら火山,8,14,4,1,1,15,15,20,16,15,1,0,3,7,6,57,2,2,25,95,8,1,12,0,0,0,26,52,0,0,1230,1528,control
2,balanced,5,tower,星晶の塔,12,20,5,1,1,20,19,23,19,18,1,0,3,8,7,41,2,2,29,90,2,1,8,0,0,0,30,40,0,0,1184,1830,control
3,collector,1,meadow,はじまり草原,1,4,2,1,1,1,2,6,12,10,1,1,3,4,3,35,2,1,18,81,4,1,12,0,0,0,10,1,0,0,230,1047,control
3,collector,2,cave,こだま洞くつ,3,7,2,1,1,6,5,10,8,6,2,0,5,3,2,44,3,0,14,100,4,1,19,0,0,0,4,8,0,0,1000,2666,control
3,collector,3,brook,しずく湖畔,5,10,3,1,1,11,11,16,15,13,2,0,4,5,4,55,2,1,22,97,2,1,27,0,0,0,17,28,0,0,3528,3408,control
3,collector,4,volcano,ほむら火山,8,14,4,1,1,16,15,16,7,4,3,0,9,2,1,11,5,5,14,72,2,1,8,0,0,0,23,11,1,0,3207,4424,control
3,collector,5,tower,星晶の塔,12,20,5,1,1,16,17,21,18,14,3,1,11,5,4,41,5,5,28,178,1,1,41,0,0,0,35,37,0,0,2337,4822,control
4,rush,1,meadow,はじまり草原,1,4,2,1,1,1,2,7,5,4,1,0,1,4,3,29,0,0,9,41,0,0,9,0,0,0,7,8,0,0,230,697,control
4,rush,2,cave,こだま洞くつ,3,7,2,1,1,7,7,12,15,15,0,0,2,14,13,88,0,0,29,125,0,0,8,0,0,0,29,26,0,0,697,1234,control
4,rush,3,brook,しずく湖畔,5,10,3,1,1,12,13,15,5,4,1,0,1,3,2,15,0,0,8,26,0,0,6,0,0,0,7,18,0,0,1234,1350,control
4,rush,4,volcano,ほむら火山,8,14,4,1,1,15,15,19,18,18,0,0,0,15,14,69,0,0,33,102,0,0,7,0,0,0,46,47,0,0,1350,1277,control
4,rush,5,tower,星晶の塔,12,20,5,1,0,19,20,0,45,45,0,0,0,40,40,176,0,0,85,280,0,0,7,0,0,0,125,123,0,0,1277,0,control
5,balanced,1,meadow,はじまり草原,1,4,2,1,1,1,2,6,7,5,1,1,3,3,2,22,1,0,11,49,2,1,10,0,0,0,6,5,0,0,230,906,control
5,balanced,2,cave,こだま洞くつ,3,7,2,1,1,7,7,10,4,3,1,0,3,2,1,27,2,2,8,54,1,1,21,0,0,0,11,7,0,0,984,2676,control
5,balanced,3,brook,しずく湖畔,5,10,3,1,1,10,10,13,7,6,1,0,3,3,2,25,2,2,12,49,3,1,9,0,0,0,14,21,0,0,2073,1510,control
5,balanced,4,volcano,ほむら火山,8,14,4,1,1,13,13,17,14,13,1,0,3,6,5,45,2,2,22,91,6,1,10,0,0,0,24,43,0,0,1170,1240,control
5,balanced,5,tower,星晶の塔,12,20,5,1,1,17,17,24,38,36,1,1,4,17,16,119,2,2,57,229,0,0,25,0,0,0,58,83,0,0,961,2188,control
6,collector,1,meadow,はじまり草原,1,4,2,1,1,1,3,6,10,7,1,2,4,3,2,28,1,0,14,60,3,1,12,0,0,0,8,0,0,0,230,1145,control
6,collector,2,cave,こだま洞くつ,3,7,2,1,1,6,6,10,8,7,1,0,2,3,2,49,1,0,12,78,3,1,20,0,0,0,4,6,0,0,1223,2871,control
6,collector,3,brook,しずく湖畔,5,10,3,1,1,11,7,13,18,15,3,0,8,6,5,76,5,5,29,136,0,0,21,0,0,0,32,26,0,0,3245,1348,control
6,collector,4,volcano,ほむら火山,8,14,4,1,1,13,13,14,4,0,4,0,9,1,0,4,5,5,10,49,0,0,7,0,0,0,18,0,0,0,713,3800,control
6,collector,5,tower,星晶の塔,12,20,5,1,1,14,17,22,26,21,2,3,12,7,6,49,5,5,38,200,6,1,32,0,0,0,48,24,0,0,2007,3440,control
7,rush,1,meadow,はじまり草原,1,4,2,1,1,1,2,6,6,3,1,2,4,3,2,21,0,0,9,39,0,0,9,0,0,0,7,8,0,0,230,670,control
7,rush,2,cave,こだま洞くつ,3,7,2,1,1,6,7,12,15,15,0,0,2,14,13,74,0,0,29,107,0,0,6,0,0,0,27,25,0,0,670,1253,control
7,rush,3,brook,しずく湖畔,5,10,3,1,1,12,12,15,6,5,1,0,1,4,3,16,0,0,10,26,0,0,5,0,0,0,11,19,0,0,1253,1354,control
7,rush,4,volcano,ほむら火山,8,14,4,1,1,15,15,19,15,15,0,0,0,12,11,58,0,0,27,80,0,0,6,0,0,0,35,57,0,0,1354,1266,control
7,rush,5,tower,星晶の塔,12,20,5,1,1,19,20,26,33,33,0,0,0,29,28,123,0,0,62,186,0,0,6,0,0,0,92,92,0,0,1266,1534,control
8,balanced,1,meadow,はじまり草原,1,4,2,1,1,1,2,6,6,5,1,0,3,3,2,25,1,0,10,53,4,1,15,0,0,0,6,6,0,0,230,851,control
8,balanced,2,cave,こだま洞くつ,3,7,2,1,1,7,7,11,6,5,1,0,3,3,2,37,2,1,11,86,3,1,20,0,0,0,14,17,0,0,929,2358,control
8,balanced,3,brook,しずく湖畔,5,10,3,1,1,11,11,13,5,4,1,0,3,2,1,15,2,2,9,35,2,1,8,0,0,0,11,10,0,0,2210,2515,control
8,balanced,4,volcano,ほむら火山,8,14,4,1,1,13,12,17,16,15,1,0,3,7,6,41,2,2,25,88,5,1,7,0,0,0,26,48,0,0,1949,1521,control
8,balanced,5,tower,星晶の塔,12,20,5,1,1,17,18,25,31,30,1,0,3,14,13,89,2,2,47,161,0,0,15,0,0,0,49,69,0,0,1179,4362,control
