run,profile,profile_label,seed,initialStateHash,status,completed,failed_stage,failure_reason,maxBattles,maxTurnsPerBattle,maxBossLosses,totalBattles,normalBattles,bossBattles,totalTurns,wins,losses,kos,guardTurns,maxGuardStreak,maxBattleTurns,guardLoopBattles,battles50Plus,battles100Plus,stalledBattles,timerOrTurnCaps,scoutAttempts,scoutSuccesses,scoutCharmPurchases,scoutCharmGold,scoutCharmConsumed,scoutCharmWasted,zeroRewardScoutWins,scoutEncountersByStage,scoutSuccessesByStage,fusions,fusionLevelDebt,levelRecoveryBattles,equips,trainingBooks,trainingGold,freeHeals,freeHealPoints,questClaims,questGold,rankClaims,rankGold,battleGold,defeatGoldLost,firstBRankBattle,firstARankBattle,firstSRankBattle,minGold,actions,finalGold,finalHighestLevel,finalPlayerRank,finalOwned,finalDexDiscovered,finalDexScouted,finalParty,finalPartyData,bossesCleared,goldInflow,goldSink,goldSinkRate,charmWasteRate,sourceRandomCalls,scenario
1,rush,速攻,1471897641,6db87357877e13c6014a44e8930428d4b49be7e4a5b7f1723ae3bdb34842a700,stuck,0,tower,boss_retry_cap,400,200,40,155,84,71,637,87,68,213,0,0,12,0,0,0,0,0,4,2,0,0,1,1,2,[object Object],[object Object],0,0,0,3,219,13140,155,7938,23,6400,5,1100,9117,3275,,,,80,[object Object],282,27,6,3,24,3,ペブロン Lv27 / つぼみラビ Lv27 / ぷるミン Lv27,"[object Object],[object Object],[object Object]",4,16697,16415,0.98311073845601,1,3923,control
2,balanced,バランス,3021753912,7c0c64f4175cdfecf1c60ea249cc09243caf6818c35c2788b044515ae2a3f8ba,completed,1,,,400,200,40,111,70,41,518,73,38,121,29,1,19,0,0,0,0,0,19,5,0,0,1,1,5,[object Object],[object Object],0,0,0,6,135,8100,111,5185,26,6980,5,1100,6460,4810,,,,80,[object Object],1710,23,6,6,23,6,クラッグベア Lv19 / シンダーホーン Lv20 / アクアン Lv23,"[object Object],[object Object],[object Object]",5,14620,12910,0.8830369357045144,1,3015,control
3,collector,収集・配合,1972113374,1dab649181c9abb6af6e495a0cc3af6800b1ebe2d3702ac207123d11cb944b4e,completed,1,,,400,200,40,156,105,51,1054,110,46,152,19,1,76,0,2,0,0,0,19,11,75,3750,76,70,9,[object Object],[object Object],0,0,0,11,117,7020,156,7867,29,9680,5,1100,10357,8167,,,,80,[object Object],2280,25,6,12,23,12,ルーメンオウル Lv22 / グルーモス Lv25 / ルミネル Lv23,"[object Object],[object Object],[object Object]",5,21217,18937,0.8925390017438847,0.9210526315789473,5300,control
4,rush,速攻,9383375,5c3f0073413b99ca6721b97ae850ac111235a724559eca74742bdc91ee785b7f,stuck,0,tower,boss_retry_cap,400,200,40,180,100,80,643,96,84,212,0,0,8,0,0,0,0,0,2,2,0,0,1,1,2,[object Object],[object Object],0,0,0,3,215,12900,180,6819,23,6400,5,1100,9118,3518,,,,80,[object Object],280,27,6,3,24,3,ペブロン Lv26 / アワマリン Lv26 / ぷるミン Lv27,"[object Object],[object Object],[object Object]",4,16698,16418,0.9832315247335011,1,4195,control
5,balanced,バランス,1641133921,92d6c7dfcaa2ee27998d84af5ca00c99caa13d1b5a59a4fe7d65011f6c985f0b,completed,1,,,400,200,40,92,58,34,413,65,27,84,12,1,22,0,0,0,0,0,10,7,0,0,1,1,5,[object Object],[object Object],0,0,0,8,147,8820,92,4435,28,9080,5,1100,6815,4892,,,,80,[object Object],3363,25,6,8,23,8,ルミネル Lv24 / シンドレイク Lv25 / ドリモール Lv25,"[object Object],[object Object],[object Object]",5,17075,13712,0.8030453879941435,1,2481,control
6,collector,収集・配合,3448281562,cb42f0679a7bd5dc5b8cd2c2b5865d3c7058175561556d0ef3986d68d47be30b,completed,1,,,400,200,40,130,81,49,783,84,46,162,21,1,62,0,2,0,0,0,32,9,56,2800,57,44,8,[object Object],[object Object],0,0,0,8,82,4920,130,7065,27,8180,5,1100,7922,8345,,,,80,[object Object],1217,23,6,10,23,10,ルーメンオウル Lv20 / グルーモス Lv22 / ギアビット Lv23,"[object Object],[object Object],[object Object]",5,17282,16065,0.9295799097326698,0.7719298245614035,4076,control
7,rush,速攻,3881588202,b794cee672f0616f1ed45dec12a2408e228f623e6a25cf8e7bc8a55a7983cb83,stuck,0,volcano,boss_retry_cap,400,200,40,111,60,51,452,62,49,166,0,0,14,0,0,0,0,0,2,2,0,0,1,1,2,[object Object],[object Object],0,0,0,3,126,7560,111,5308,20,4320,4,750,4727,2088,,,,80,[object Object],229,22,5,3,17,3,ぷるミン Lv20 / つぼみラビ Lv21 / プフバット Lv22,"[object Object],[object Object],[object Object]",3,9877,9648,0.9768148223144679,1,2797,control
8,balanced,バランス,3675537264,ffaf99010b094fd9de40f6decff39595ce45221288e676b764cce6cbca8dd5e1,completed,1,,,400,200,40,63,38,25,315,45,18,45,14,1,20,0,0,0,0,0,11,6,0,0,1,1,4,[object Object],[object Object],0,0,0,7,113,6780,63,2279,27,8180,4,750,4187,4010,,,,80,[object Object],2407,21,5,7,21,7,ルーメンオウル Lv20 / オアロード Lv21,"[object Object],[object Object]",5,13197,10790,0.8176100628930818,1,1796,control
9,collector,収集・配合,3046571462,3db856ad2acbc4297177ed6f8b45d82dd44a82e2ba7a48fd0abf9b68bb8c855e,completed,1,,,400,200,40,125,82,43,722,86,39,127,25,1,24,0,0,0,0,0,24,12,61,3050,62,50,10,[object Object],[object Object],0,0,0,10,84,5040,125,6566,28,8780,5,1100,7064,7082,,,,80,[object Object],1852,21,6,13,25,13,グルーモス Lv21 / シンダーホーン Lv21 / ルミネル Lv20,"[object Object],[object Object],[object Object]",5,17024,15172,0.8912124060150376,0.8064516129032258,3874,control
10,rush,速攻,2853839096,768f295867f41089f43493bc822ffd9bdf9909f722939df35969feb66a63144e,stuck,0,tower,boss_retry_cap,400,200,40,167,96,71,627,87,80,226,0,0,10,0,0,0,0,0,5,2,0,0,1,1,2,[object Object],[object Object],0,0,0,3,217,13020,167,8968,23,6400,5,1100,9099,3387,,,,80,[object Object],272,28,6,3,23,3,トゲホッグ Lv26 / リーフリン Lv27 / ぷるミン Lv28,"[object Object],[object Object],[object Object]",4,16679,16407,0.9836920678697764,1,3978,control
11,balanced,バランス,1481333286,8748622d904b43f71307b483dc4f23942852911c7333aa1ccdb70bbedb7246ef,completed,1,,,400,200,40,92,57,35,400,63,29,103,16,1,15,0,0,0,0,0,14,5,0,0,1,1,5,[object Object],[object Object],0,0,0,6,143,8580,92,4830,27,8180,4,750,5978,4063,,,,80,[object Object],2345,22,5,6,24,6,グルーモス Lv21 / クリスタゴン Lv19 / シンドレイク Lv22,"[object Object],[object Object],[object Object]",5,14988,12643,0.8435414998665599,1,2426,control
12,collector,収集・配合,1324164130,c1b474a6df339e934d35a050ea184c90533f14ba034db2dabddebc624f1a712e,completed,1,,,400,200,40,142,90,52,669,92,50,146,25,1,22,0,0,0,0,0,32,9,63,3150,64,56,8,[object Object],[object Object],0,0,0,7,74,4440,142,6622,27,8180,5,1100,8502,8442,,,,80,[object Object],1830,23,6,10,25,10,クラッグベア Lv19 / クリスタゴン Lv19 / ギアビット Lv23,"[object Object],[object Object],[object Object]",5,17862,16032,0.8975478669801814,0.875,3928,control
13,rush,速攻,2407032757,2712bf8778f4a6429f55bb76892ed6a6a5d36ccabd5c1bfe481a66dc6f639976,stuck,0,tower,boss_retry_cap,400,200,40,150,83,67,556,83,67,207,0,0,9,0,0,0,0,0,2,2,0,0,1,1,2,[object Object],[object Object],0,0,0,3,223,13380,150,7459,23,6400,5,1100,9257,3179,,,,80,[object Object],278,28,6,3,23,3,トゲホッグ Lv27 / プフバット Lv27 / ぷるミン Lv28,"[object Object],[object Object],[object Object]",4,16837,16559,0.9834887450258359,1,3563,control
14,balanced,バランス,1387753497,6a45791c8159f39eda2754b4f38d15865a2feb156e06d6b2359996ca4d763ac0,completed,1,,,400,200,40,77,48,29,347,55,22,65,16,1,23,0,0,0,0,0,15,7,0,0,1,1,5,[object Object],[object Object],0,0,0,8,133,7980,77,1708,27,8180,4,750,5139,3798,,,,80,[object Object],2371,22,5,8,23,8,シンダーホーン Lv21 / ルミネル Lv20 / リーファウル Lv22,"[object Object],[object Object],[object Object]",5,14149,11778,0.8324263198812637,1,2057,control
15,collector,収集・配合,3282849046,1747cdd41e84ddfb01753264d5364600332cf38c05e12bf95f2202e43cc5fd4c,completed,1,,,400,200,40,92,56,36,407,62,30,89,15,1,23,0,0,0,0,0,34,9,46,2300,47,37,7,[object Object],[object Object],0,0,0,8,60,3600,92,4363,27,8180,4,750,5721,7000,,,,80,[object Object],1831,21,5,10,24,10,クリスタゴン Lv19 / シンダーホーン Lv20 / ヒノコぐま Lv21,"[object Object],[object Object],[object Object]",5,14731,12900,0.8757042970606205,0.7872340425531915,2433,control
