scenario,profile,stage_id,stage_name,campaigns,clear_rate,first_try_rate,avg_boss_attempts,avg_extra_normal_wins,normal_loss_rate,p50_total_battles,p90_total_battles,median_boss_start_level,avg_training_books
control,rush,all_early,序盤4地域,100,0.89,,,,,80.5,121.1,,208.52
control,rush,meadow,はじまり草原,100,1,0,4.47,3.47,0.2914507772020725,10,22.2,2,7.68
control,rush,cave,こだま洞くつ,100,0.98,0,8.47,7.49,0.027663934426229508,15,31,7,20.47
control,rush,brook,しずく湖畔,98,1,0.01020408163265306,4.54,3.54,0,8,22,11,22.15
control,rush,volcano,ほむら火山,98,0.9081632653061225,0.01020408163265306,19.87,18.96,0.0013315579227696406,37,83,15,57.82
control,rush,tower,星晶の塔,89,0.0898876404494382,0,38.97,38.88,0.011892712550607287,85,87,20,114.61
control,balanced,all_early,序盤4地域,100,1,,,,,59.5,79.4,,165.12
control,balanced,meadow,はじまり草原,100,1,0,3.21,4.42,0.19850187265917604,12,18,2,5.25
control,balanced,cave,こだま洞くつ,100,1,0,3.15,4.3,0.014084507042253521,11,14,7,15.59
control,balanced,brook,しずく湖畔,100,1,0.09,3.47,4.94,0,12,21,11,21.76
control,balanced,volcano,ほむら火山,100,1,0.06,6.72,11.47,0.007697241821680564,22,43,13,39
control,balanced,tower,星晶の塔,100,0.99,0,14.6,27.22,0.02066869300911854,50,72,18,83.52
control,collector,all_early,序盤4地域,100,1,,,,,72.5,95,,78.87
control,collector,meadow,はじまり草原,100,1,0,3.57,7.71,0.08223062381852551,16,21,3,0.42
control,collector,cave,こだま洞くつ,100,1,0,3.35,7.05,0.005494505494505495,16,20.1,7,10.18
control,collector,brook,しずく湖畔,100,1,0.08,3.97,8.91,0,21,29,11,14.09
control,collector,volcano,ほむら火山,100,1,0.09,4.28,9.84,0.026038001407459536,19,38.1,12.5,17.12
control,collector,tower,星晶の塔,100,1,0,8.71,23.13,0.044497282608695655,43,64,16,37.06
production,rush,all_early,序盤4地域,100,1,,,,,33.5,56.1,,199.6
production,rush,meadow,はじまり草原,100,1,0.13,2.05,1.05,0.06153846153846154,5,7,2,2.97
production,rush,cave,こだま洞くつ,100,1,0.01,3.25,2.25,0.07205240174672489,7,9,6,12.7
production,rush,brook,しずく湖畔,100,1,0.24,2.67,1.67,0.0042643923240938165,6,12,10,17.03
production,rush,volcano,ほむら火山,100,1,0.05,6.97,5.97,0.01966568338249754,13,33,13,36.37
production,rush,tower,星晶の塔,100,0.06,0,39.53,39.47,0.041594827586206896,86,90,20,130.53
production,balanced,all_early,序盤4地域,100,1,,,,,34,41,,134.58
production,balanced,meadow,はじまり草原,100,1,0.04,2.06,2.12,0.0351288056206089,8,10,2,2.16
production,balanced,cave,こだま洞くつ,100,1,0.27,1.95,1.9,0.012658227848101266,8,11,7,5.87
production,balanced,brook,しずく湖畔,100,1,0.37,1.99,1.98,0,9,12,10,10.54
production,balanced,volcano,ほむら火山,100,1,0.47,2.15,2.3,0.02476780185758514,10,16.1,12,13.39
production,balanced,tower,星晶の塔,100,1,0.01,11.89,21.78,0.03356189101407434,38,70.1,17,102.62
production,collector,all_early,序盤4地域,100,1,,,,,45.5,58,,72.62
production,collector,meadow,はじまり草原,100,1,0.07,1.99,2.97,0.04423076923076923,9,12,2,0
production,collector,cave,こだま洞くつ,100,1,0.18,2.07,3.21,0.0019157088122605363,9,13,6.5,3.52
production,collector,brook,しずく湖畔,100,1,0.29,2.25,3.75,0,13,21,10,7.18
production,collector,volcano,ほむら火山,100,1,0.45,2.05,3.15,0.07860824742268041,12.5,23,11,5.93
production,collector,tower,星晶の塔,100,1,0.06,7.82,20.46,0.05738615327656423,39.5,62.2,17,55.99
