scenario,profile,stage_id,clear_rate_delta,first_try_rate_delta,avg_boss_attempts_delta,avg_extra_normal_wins_delta,normal_loss_rate_delta,p50_total_battles_delta,p90_total_battles_delta,avg_training_books_delta
transition4,rush,all_early,0.10999999999999999,,,,,-47,-65,-8.920000000000016
transition4,rush,meadow,0,0.13,-2.42,-2.42,-0.22991231566361098,-5,-15.2,-4.709999999999999
transition4,rush,cave,0.020000000000000018,0.01,-5.220000000000001,-5.24,0.04438846732049538,-8,-22,-7.77
transition4,rush,brook,0,0.22979591836734692,-1.87,-1.87,0.0042643923240938165,-2,-10,-5.119999999999997
transition4,rush,volcano,0.09183673469387754,0.039795918367346944,-12.900000000000002,-12.990000000000002,0.0183341254597279,-24,-50,-21.450000000000003
transition4,rush,tower,-0.029887640449438202,0,0.5600000000000023,0.5899999999999963,0.029702115035599608,1,3,15.920000000000002
transition4,balanced,all_early,0,,,,,-25.5,-38.400000000000006,-30.539999999999992
transition4,balanced,meadow,0,0.04,-1.15,-2.3,-0.16337306703856713,-4,-8,-3.09
transition4,balanced,cave,0,0.27,-1.2,-2.4,-0.0014262791941522558,-3,-3,-9.719999999999999
transition4,balanced,brook,0,0.28,-1.4800000000000002,-2.9600000000000004,0,-3,-9,-11.220000000000002
transition4,balanced,volcano,0,0.41,-4.57,-9.170000000000002,0.017070560035904576,-12,-26.9,-25.61
transition4,balanced,tower,0.010000000000000009,0.01,-2.709999999999999,-5.439999999999998,0.012893198004955801,-12,-1.9000000000000057,19.10000000000001
transition4,collector,all_early,0,,,,,-27,-37,-6.25
transition4,collector,meadow,0,0.07,-1.5799999999999998,-4.74,-0.03799985458775628,-7,-9,-0.42
transition4,collector,cave,0,0.18,-1.2800000000000002,-3.84,-0.003578796682244959,-7,-7.100000000000001,-6.66
transition4,collector,brook,0,0.20999999999999996,-1.7200000000000002,-5.16,0,-8,-8,-6.91
transition4,collector,volcano,0,0.36,-2.2300000000000004,-6.6899999999999995,0.052570246015220874,-6.5,-15.100000000000001,-11.190000000000001
transition4,collector,tower,0,0.06,-0.8900000000000006,-2.669999999999998,0.012888870667868577,-3.5,-1.7999999999999972,18.93
