run,profile,stage_index,stage_id,stage_name,req_level,boss_level,unlock_wins,reached,cleared,entry_highest_level,boss_start_highest_level,clear_highest_level,normalBattles,normalCombatWins,scoutWins,normalLosses,scoutEncounters,bossAttempts,bossLosses,bossTurns,recruitmentBossBattles,recruitmentBossLosses,totalBattles,totalTurns,guardTurns,maxGuardStreak,maxBattleTurns,battles50Plus,guardLoopBattles,stalledBattles,kos,trainingBooks,fusions,levelRecoveryBattles,gold_at_entry,gold_at_clear,scenario
1,rush,1,meadow,はじまり草原,1,4,2,1,1,1,2,6,5,3,1,1,3,3,2,20,0,0,8,37,0,0,8,0,0,0,6,8,0,0,230,692,control
1,rush,2,cave,こだま洞くつ,3,7,2,1,1,6,7,11,10,9,1,0,1,9,8,86,0,0,19,108,0,0,12,0,0,0,26,16,0,0,692,1714,control
1,rush,3,brook,しずく湖畔,5,10,3,1,1,11,11,14,5,5,0,0,0,3,2,19,0,0,8,29,0,0,7,0,0,0,8,25,0,0,1714,1177,control
1,rush,4,volcano,ほむら火山,8,14,4,1,1,14,14,19,19,19,0,0,0,16,15,92,0,0,35,138,0,0,8,0,0,0,47,60,0,0,1177,1287,control
1,rush,5,tower,星晶の塔,12,20,5,1,0,19,20,0,45,45,0,0,0,40,40,189,0,0,85,325,0,0,7,0,0,0,126,110,0,0,1287,0,control
2,balanced,1,meadow,はじまり草原,1,4,2,1,1,1,2,6,7,5,1,1,4,3,2,30,2,2,12,70,4,1,13,0,0,0,10,5,0,0,230,890,control
2,balanced,2,cave,こだま洞くつ,3,7,2,1,1,6,7,11,10,9,1,0,3,5,4,62,2,2,17,114,6,1,19,0,0,0,22,18,0,0,690,1596,control
2,balanced,3,brook,しずく湖畔,5,10,3,1,1,11,12,17,23,22,1,0,3,11,10,86,2,2,36,138,6,1,14,0,0,0,38,33,0,0,1237,2311,control
2,balanced,4,volcano,ほむら火山,8,14,4,1,1,17,16,18,6,5,1,0,4,2,1,14,2,2,10,44,1,1,8,0,0,0,10,19,0,0,1790,2572,control
2,balanced,5,tower,星晶の塔,12,20,5,1,1,18,18,23,24,22,1,1,6,10,9,58,2,2,36,152,12,1,11,0,0,0,41,60,0,0,1993,2207,control
3,collector,1,meadow,はじまり草原,1,4,2,1,1,1,3,6,9,6,2,1,3,3,2,31,1,0,13,59,5,1,11,0,0,0,9,0,0,0,230,1144,control
3,collector,2,cave,こだま洞くつ,3,7,2,1,1,6,6,10,8,8,0,0,1,3,2,49,1,0,12,85,2,1,24,0,0,0,5,6,0,0,1402,2812,control
3,collector,3,brook,しずく湖畔,5,10,3,1,1,11,11,15,15,13,2,0,7,5,4,47,5,5,25,117,0,0,21,0,0,0,28,30,0,0,3186,1321,control
3,collector,4,volcano,ほむら火山,8,14,4,1,1,15,13,19,31,28,3,0,8,10,9,209,5,5,46,331,8,1,41,0,0,0,47,33,0,0,699,1596,control
3,collector,5,tower,星晶の塔,12,20,5,1,1,19,19,25,42,39,2,1,9,13,12,184,5,5,60,462,4,1,76,2,0,0,63,48,0,0,844,4316,control
4,rush,1,meadow,はじまり草原,1,4,2,1,1,1,3,9,23,15,0,8,5,14,13,56,0,0,37,112,0,0,6,0,0,0,21,8,0,0,230,971,control
4,rush,2,cave,こだま洞くつ,3,7,2,1,1,9,9,13,9,8,1,0,1,8,7,52,0,0,17,70,0,0,8,0,0,0,15,31,0,0,971,581,control
4,rush,3,brook,しずく湖畔,5,10,3,1,1,13,13,15,12,11,1,0,1,10,9,59,0,0,22,82,0,0,8,0,0,0,29,15,0,0,581,1186,control
4,rush,4,volcano,ほむら火山,8,14,4,1,1,15,16,19,11,11,0,0,0,8,7,48,0,0,19,72,0,0,7,0,0,0,23,49,0,0,1186,1283,control
4,rush,5,tower,星晶の塔,12,20,5,1,0,19,20,0,45,45,0,0,0,40,40,188,0,0,85,307,0,0,7,0,0,0,124,112,0,0,1283,0,control
5,balanced,1,meadow,はじまり草原,1,4,2,1,1,1,3,7,6,5,1,0,2,3,2,23,1,0,10,44,4,1,9,0,0,0,6,6,0,0,230,876,control
5,balanced,2,cave,こだま洞くつ,3,7,2,1,1,7,4,10,6,5,1,0,2,3,2,35,1,0,10,72,2,1,14,0,0,0,4,11,0,0,954,2774,control
5,balanced,3,brook,しずく湖畔,5,10,3,1,1,10,11,11,3,2,1,0,3,1,0,7,2,2,6,26,0,0,7,0,0,0,5,0,0,0,2908,4058,control
5,balanced,4,volcano,ほむら火山,8,14,4,1,1,11,12,15,10,9,1,0,3,4,3,24,2,2,16,55,2,1,9,0,0,0,18,42,0,0,3144,1410,control
5,balanced,5,tower,星晶の塔,12,20,5,1,1,15,17,25,33,32,1,0,4,15,14,100,2,2,50,216,4,1,22,0,0,0,51,88,0,0,1093,4341,control
6,collector,1,meadow,はじまり草原,1,4,2,1,1,1,2,6,8,6,2,0,6,3,2,35,4,1,15,95,4,1,13,0,0,0,12,1,0,0,230,1164,control
6,collector,2,cave,こだま洞くつ,3,7,2,1,1,8,9,11,8,7,1,0,7,3,2,51,5,5,16,115,4,1,20,0,0,0,24,12,0,0,2909,2290,control
6,collector,3,brook,しずく湖畔,5,10,3,1,1,11,11,12,3,1,2,0,8,1,0,15,5,5,9,58,0,0,15,0,0,0,18,0,0,0,1210,2345,control
6,collector,4,volcano,ほむら火山,8,14,4,1,1,12,12,19,29,23,2,4,11,8,7,62,5,5,42,237,9,1,15,0,0,0,57,32,0,0,1240,2785,control
6,collector,5,tower,星晶の塔,12,20,5,1,1,19,17,23,33,31,1,1,8,10,9,168,5,5,48,278,4,1,62,2,0,0,51,37,0,0,1472,2303,control
7,rush,1,meadow,はじまり草原,1,4,2,1,1,1,2,5,3,1,2,0,2,2,1,24,0,0,5,33,0,0,14,0,0,0,5,3,0,0,230,927,control
7,rush,2,cave,こだま洞くつ,3,7,2,1,1,5,6,11,8,8,0,0,0,7,6,48,0,0,15,71,0,0,10,0,0,0,21,21,0,0,927,1390,control
7,rush,3,brook,しずく湖畔,5,10,3,1,1,11,11,14,4,4,0,0,0,2,1,10,0,0,6,18,0,0,7,0,0,0,5,21,0,0,1390,1399,control
7,rush,4,volcano,ほむら火山,8,14,4,1,0,14,14,0,45,44,0,1,0,40,40,198,0,0,85,330,0,0,6,0,0,0,135,81,0,0,1399,0,control
7,rush,5,tower,星晶の塔,12,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,control
8,balanced,1,meadow,はじまり草原,1,4,2,1,1,1,3,6,6,4,2,0,3,3,2,41,1,0,10,65,6,1,15,0,0,0,9,5,0,0,230,918,control
8,balanced,2,cave,こだま洞くつ,3,7,2,1,1,7,6,10,6,6,0,0,2,3,2,50,2,1,11,96,4,1,20,0,0,0,7,10,0,0,1176,2674,control
8,balanced,3,brook,しずく湖畔,5,10,3,1,1,11,11,13,5,4,1,0,4,2,1,13,2,2,9,29,1,1,8,0,0,0,7,12,0,0,2488,2866,control
8,balanced,4,volcano,ほむら火山,8,14,4,1,1,13,11,15,10,10,0,0,6,4,3,28,2,2,16,61,1,1,14,0,0,0,10,33,0,0,2221,1222,control
8,balanced,5,tower,星晶の塔,12,20,5,1,1,15,16,21,11,10,1,0,4,4,3,25,2,2,17,64,2,1,10,0,0,0,12,53,0,0,947,3107,control
9,collector,1,meadow,はじまり草原,1,4,2,1,1,1,2,7,15,13,1,1,2,5,4,56,1,0,21,109,9,1,15,0,0,0,12,0,0,0,230,2006,control
